NAME,,,DETAILED_INFO,,,,,MUSCLE_GROUPS,,,,,,,,,,,,,,,,,,
Name,CATEGORY_GARMIN,NAME_GARMIN,FOUND,IMAGE,URL,DIFFICULTY,DESCRIPTION,,ABDUCTORS,ABS,ADDDUCTORS,ADDUCTORS,BICEPS,CALVES,CHEST,FOREARM,GLUTES,HAMSTRINGS,HIPS,LATS,LOWER_BACK,OBLIQUES,QUADS,SHOULDERS,TRAPS,TRICEPS
Banded Back Extension,BANDED_EXERCISES,BACK_EXTENSION,FALSE,,,,,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0
Banded Calf Raises,BANDED_EXERCISES,CALF_RAISES,FALSE,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Banded Clam Shells,BANDED_EXERCISES,CLAM_SHELLS,FALSE,,,,,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Banded External Rotation,BANDED_EXERCISES,EXTERNAL_ROTATION,FALSE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Banded External Rotation at 90-Degree Abduction,BANDED_EXERCISES,EXTERNAL_ROTATION_AT_90_DEGREE_ABDUCTION,FALSE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Banded Fire Hydrant,BANDED_EXERCISES,FIRE_HYDRANT,FALSE,,,,,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Banded Glute Bridge,BANDED_EXERCISES,GLUTE_BRIDGE,FALSE,,,,,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
Banded Hip Extension,BANDED_EXERCISES,HIP_EXTENSION,FALSE,,,,,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0
Banded Internal Rotation,BANDED_EXERCISES,INTERNAL_ROTATION,FALSE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Banded Lateral Band Walks,BANDED_EXERCISES,LATERAL_BAND_WALKS,FALSE,,,,,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Banded Lateral Raise,BANDED_EXERCISES,LATERAL_RAISE,FALSE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Banded Leg Abduction,BANDED_EXERCISES,LEG_ABDUCTION,FALSE,,,,,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Banded Leg Adduction,BANDED_EXERCISES,LEG_ADDUCTION,FALSE,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banded Leg Extension,BANDED_EXERCISES,LEG_EXTENSION,FALSE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Banded Lunge,BANDED_EXERCISES,LUNGE,FALSE,,,,,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0
Banded Shoulder Abduction,BANDED_EXERCISES,SHOULDER_ABDUCTION,FALSE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Banded Shoulder Extension,BANDED_EXERCISES,SHOULDER_EXTENSION,FALSE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
Banded Shoulder External Rotation,BANDED_EXERCISES,SHOULDER_EXTERNAL_ROTATION,FALSE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Banded Shoulder Flexion to 90-Degrees,BANDED_EXERCISES,SHOULDER_FLEXION_TO_90_DEGREES,FALSE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Banded Squat,BANDED_EXERCISES,SQUAT,FALSE,,,,,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0
Banded Wall Crawl with External Rotation,BANDED_EXERCISES,WALL_CRAWL_WITH_EXTERNAL_ROTATION,FALSE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Donkey Calf Raise,CALF_RAISE,DONKEY_CALF_RAISE,FALSE,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Seated Calf Raise,CALF_RAISE,SEATED_CALF_RAISE,FALSE,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Single-leg Bent-knee Calf Raise,CALF_RAISE,SINGLE_LEG_BENT_KNEE_CALF_RAISE,FALSE,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Single-leg Donkey Calf Raise,CALF_RAISE,SINGLE_LEG_DONKEY_CALF_RAISE,FALSE,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Single-leg Standing Calf Raise,CALF_RAISE,SINGLE_LEG_STANDING_CALF_RAISE,FALSE,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Standing Calf Raise,CALF_RAISE,STANDING_CALF_RAISE,FALSE,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Weighted Donkey Calf Raise,CALF_RAISE,WEIGHTED_DONKEY_CALF_RAISE,FALSE,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Weighted Seated Calf Raise,CALF_RAISE,WEIGHTED_SEATED_CALF_RAISE,FALSE,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Weighted Single-leg Bent-knee Calf Raise,CALF_RAISE,WEIGHTED_SINGLE_LEG_BENT_KNEE_CALF_RAISE,FALSE,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Weighted Single-leg Donkey Calf Raise,CALF_RAISE,WEIGHTED_SINGLE_LEG_DONKEY_CALF_RAISE,FALSE,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Weighted Standing Calf Raise,CALF_RAISE,WEIGHTED_STANDING_CALF_RAISE,FALSE,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3-way Calf Raise,CALF_RAISE,_3_WAY_CALF_RAISE,FALSE,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3-way Single-leg Calf Raise,CALF_RAISE,_3_WAY_SINGLE_LEG_CALF_RAISE,FALSE,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3-way Weighted Calf Raise,CALF_RAISE,_3_WAY_WEIGHTED_CALF_RAISE,FALSE,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3-way Weighted Single-leg Calf Raise,CALF_RAISE,_3_WAY_WEIGHTED_SINGLE_LEG_CALF_RAISE,FALSE,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Arm and Leg Extension on Knees,CORE,ARM_AND_LEG_EXTENSION_ON_KNEES,TRUE,,https://connect.garmin.com/modern/exercises/CORE/ARM_AND_LEG_EXTENSION_ON_KNEES,Beginner,This exercise stabilizes and balances the torso while improving mobility in the joints.,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
Cat Cow,CORE,CAT_COW,TRUE,,https://connect.garmin.com/modern/exercises/CORE/CAT_COW,Beginner,This exercise focuses on how to better connect the breath with the movement of the spine. This movement helps bring the spine back into balance.,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0
Knee Folds,CORE,KNEE_FOLDS,TRUE,,https://connect.garmin.com/modern/exercises/CORE/KNEE_FOLDS,Beginner,This exercise helps develop stability in the pelvis by moving the hip joint while holding the lower back and hips in a neutral position.,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Lower Lift,CORE,LOWER_LIFT,TRUE,,https://connect.garmin.com/modern/exercises/CORE/LOWER_LIFT,Intermediate,This exercise challenges the lower abdominals and engages the pelvis. The legs act as weight and can increase the challenge to the abs. This movement also teaches breath control and strengthens the connection between breathing and the abdominals.,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
Neck Pull,CORE,NECK_PULL,TRUE,,https://connect.garmin.com/modern/exercises/CORE/NECK_PULL,Intermediate,This exercise works the abdominals and stretches the spine and the hamstrings.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rolling,CORE,ROLLING,TRUE,,https://connect.garmin.com/modern/exercises/CORE/ROLLING,Beginner,"This exercise helps teach proper breathing and balance. To benefit from this move, make sure to keep the abdominals engaged throughout the motion.",0,0,1,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0
Side Bend,CORE,SIDE_BEND,FALSE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Single-leg Circles,CORE,SINGLE_LEG_CIRCLES,TRUE,,https://connect.garmin.com/modern/exercises/CORE/SINGLE_LEG_CIRCLES,Beginner,This exercise helps teach you how to hold a neutral pelvis. It also loosens the hip joints.,0,0,1,0,1,0,0,0,0,0,2,1,0,0,1,2,0,0,0
Single-leg Stretch,CORE,SINGLE_LEG_STRETCH,TRUE,,https://connect.garmin.com/modern/exercises/CORE/SINGLE_LEG_STRETCH,Beginner,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0
Swimming,CORE,SWIMMING,TRUE,,https://connect.garmin.com/modern/exercises/CORE/SWIMMING,Beginner,This exercise focuses on strengthening the core while incorporating oppositional movement of the arms and legs.,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,2,2,0,0
Toes to Elbows,CORE,TOES_TO_ELBOWS,FALSE,,,,,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,1,2,0,0
Arm Rotations,FLYE,ARM_ROTATIONS,TRUE,,https://connect.garmin.com/modern/exercises/FLYE/ARM_ROTATIONS,Beginner,"This exercise helps improve stability by targeting specific areas of the body, one at time.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
Hug a Tree,FLYE,HUG_A_TREE,TRUE,,https://connect.garmin.com/modern/exercises/FLYE/HUG_A_TREE,Beginner,"This exercise helps improve stability by targeting specific areas of the body, one at time.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0
Clams,HIP_RAISE,CLAMS,TRUE,,https://connect.garmin.com/modern/exercises/HIP_RAISE/CLAMS,Beginner,The side-leg series challenges you to keep a balanced and neutral pelvis while on your side and fighting gravity.,0,1,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Clam Bridge,HIP_RAISE,CLAM_BRIDGE,FALSE,,,,,0,1,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0
Hip Extension and Cross,HIP_RAISE,HIP_EXTENSION_AND_CROSS,FALSE,,,,,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hip Raise,HIP_RAISE,HIP_RAISE,TRUE,,https://connect.garmin.com/modern/exercises/HIP_RAISE/HIP_RAISE,Beginner,"The hip raise builds strength and stability in the hips. The movement also increases strength in the core, glutes, and hamstrings. This movement is one of the best at building glutes strength, and has multiple variations - including single leg options - that make it one of the most versatile exercises that doesn't require any equipment.",0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0
Hip Raise with Feet on Swiss Ball,HIP_RAISE,HIP_RAISE_WITH_FEET_ON_SWISS_BALL,FALSE,,,,,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0
Hip Raise with Head on Bosu® Balance Trainer,HIP_RAISE,HIP_RAISE_WITH_HEAD_ON_BOSU_BALL,FALSE,,,,,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0
Hip Raise with Head on Swiss Ball,HIP_RAISE,HIP_RAISE_WITH_HEAD_ON_SWISS_BALL,FALSE,,,,,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0
Hip Raise with Knee Squeeze,HIP_RAISE,HIP_RAISE_WITH_KNEE_SQUEEZE,FALSE,,,,,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0
