NAME,,,DETAILED_INFO,,,,,MUSCLE_GROUPS,,,,,,,,,,,,,,,,,,
Name,CATEGORY_GARMIN,NAME_GARMIN,FOUND,IMAGE,URL,DIFFICULTY,DESCRIPTION,,ABDUCTORS,ABS,ADDDUCTORS,ADDUCTORS,BICEPS,CALVES,CHEST,FOREARM,GLUTES,HAMSTRINGS,HIPS,LATS,LOWER_BACK,OBLIQUES,QUADS,SHOULDERS,TRAPS,TRICEPS
All Fours Pose,POSE,ALL_FOURS,TRUE,,https://connect.garmin.com/modern/exercises/POSE/ALL_FOURS,Beginner,This basic posture is a starting point that will help you develop the control and strength to go on to do more challenging poses.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ankle to Knee Pose,POSE,ANKLE_TO_KNEE,TRUE,,https://connect.garmin.com/modern/exercises/POSE/ANKLE_TO_KNEE,Beginner,"This pose is also referred to as ""Double Pigeon"" and as “Fire Log"" pose, which is the Sanskrit translation. It will help loosen up your hips.",0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0
Baby Cobra Pose,POSE,BABY_COBRA,TRUE,,https://connect.garmin.com/modern/exercises/POSE/BABY_COBRA,Beginner,"The Baby Cobra pose is mid-point in between the Sphinx and Cobra poses (or as translated, ""Half Cobra""). It increases spinal flexibility and is often used in place of Cobra as a substitute for the Cobra's severe back bending extension.",0,0,1,0,0,2,0,2,0,1,0,0,0,1,0,0,2,0,2
Boat Pose,POSE,BOAT,TRUE,,https://connect.garmin.com/modern/exercises/POSE/BOAT,Beginner,"Boat pose strengthens your abdominals, back, hips, and thighs, and can help improve concentration and balance.",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Bound Angle Pose,POSE,BOUND_ANGLE,TRUE,,https://connect.garmin.com/modern/exercises/POSE/BOUND_ANGLE,Beginner,This pose is said to improve fertility and relieve sciatica.,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0
Bound Seated Single-Leg Forward Bend Pose,POSE,BOUND_SEATED_SINGLE_LEG_FORWARD_BEND,TRUE,,https://connect.garmin.com/modern/exercises/POSE/BOUND_SEATED_SINGLE_LEG_FORWARD_BEND,Intermediate,"This is the pose dedicated to the sage, Marichi, said to be the father of humanity.",0,0,1,0,0,0,0,0,0,2,2,1,0,2,0,0,1,0,0
Bow Pose,POSE,BOW,TRUE,,https://connect.garmin.com/modern/exercises/POSE/BOW,Beginner,This is the eighth of the 12 basic Hatha Yoga postures. Bow pose is so called because it resembles an archer's bow. This backbend opens the front of the body.,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0
Bowed Half Moon Pose,POSE,BOWED_HALF_MOON,TRUE,,https://connect.garmin.com/modern/exercises/POSE/BOWED_HALF_MOON,Advanced,This invigorating variation on the Half Moon pose challenges your ability to balance. The backbend is thought to expand your ability to take deeper breaths.,0,1,1,1,0,0,2,2,0,1,1,1,0,0,0,1,2,0,0
Bridge Pose,POSE,BRIDGE,TRUE,,https://connect.garmin.com/modern/exercises/POSE/BRIDGE,Beginner,"This beginner backbend is often given as an alternative to Wheel pose in yoga class. This pose strengthens and lengthens the back and abdominals, and in doing so, improves posture and confidence.",0,0,0,0,0,2,2,2,0,1,2,1,0,1,0,1,1,2,1
Cat Pose,POSE,CAT,TRUE,,https://connect.garmin.com/modern/exercises/POSE/CAT,Beginner,This pose is named for its shape: the look of an angry cat.,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,2,0,0
Chair Pose,POSE,CHAIR,TRUE,,https://connect.garmin.com/modern/exercises/POSE/CHAIR,Beginner,"Also referred to as ""Fierce or Powerful"" pose(the Sanskrit translation) or ""Awkward"" pose, this pose is most commonly referred to as ""Chair pose"" since it looks like you're sitting down in a chair.",0,0,1,0,2,0,2,0,0,1,1,1,0,1,0,1,1,0,0
Child’s Pose,POSE,CHILDS,TRUE,,https://connect.garmin.com/modern/exercises/POSE/CHILDS,Beginner,Child's pose is the go-to resting pose for times during any yoga routine when you need a break. It works to calm and relax your body and mind.,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0
Corpse Pose,POSE,CORPSE,TRUE,,https://connect.garmin.com/modern/exercises/POSE/CORPSE,Beginner,Corpse pose is traditionally performed at the end of an asana practice. Its stillness allows you to appreciate all of the space and openings that you created in your body and mind.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cow Face Pose,POSE,COW_FACE,TRUE,,https://connect.garmin.com/modern/exercises/POSE/COW_FACE,Intermediate,"The Sanskrit translation, ""Cow Face"" pose, is said to be named for the look of the pose: The knees represent the lips and the elbows represent the ears. This pose was one of only 15 postures included in the seminal text of physical yoga practice, the Hatha Yoga Pradipika.",0,0,0,0,0,1,0,1,0,2,1,1,0,2,0,0,1,0,1
Cow Pose,POSE,COW,TRUE,,https://connect.garmin.com/modern/exercises/POSE/COW,Beginner,"This pose is named for its shape — when you arch your spine, it looks like a cow's udders",0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0
Devotional Warrior Pose,POSE,DEVOTIONAL_WARRIOR,TRUE,,https://connect.garmin.com/modern/exercises/POSE/DEVOTIONAL_WARRIOR,Beginner,"Not recognized as a traditional Warrior pose, this commonly used Warrior variation derives its name from its devotional stance.",0,2,1,0,2,1,0,0,0,0,1,1,0,2,0,1,1,0,1
Dolphin Plank Pose,POSE,DOLPHIN_PLANK,TRUE,,https://connect.garmin.com/modern/exercises/POSE/DOLPHIN_PLANK,Beginner,"Also known as Forearm Plank, this pose builds core strength. For those with wrist strain, it is an alternative to the traditional Plank where you rest your bodyweight on the palms of your hands.",0,0,1,0,0,0,0,1,0,2,2,0,0,1,1,2,1,0,1
Dolphin Pose,POSE,DOLPHIN,TRUE,,https://connect.garmin.com/modern/exercises/POSE/DOLPHIN,Beginner,"Dolphin pose, also known as Forearm Down Dog, is an alternative to Down Dog for those with wrist sensitivities.",0,0,1,0,0,0,1,1,0,2,2,0,0,1,0,2,1,0,1
Down Dog Knee to Nose Pose,POSE,DOWN_DOG_KNEE_TO_NOSE,TRUE,,https://connect.garmin.com/modern/exercises/POSE/DOWN_DOG_KNEE_TO_NOSE,Beginner,This core-strengthening variation of the Down Dog pose also helps to develop the mobility to step one's foot forward in between the hands.,0,2,1,0,2,0,0,1,0,1,1,0,0,2,1,0,1,0,1
Down Dog Split Pose,POSE,DOWN_DOG_SPLIT,TRUE,,https://connect.garmin.com/modern/exercises/POSE/DOWN_DOG_SPLIT,Beginner,This one-legged variation of Down Dog is often used as a transitional pose to move each leg forward in a yoga sequence.,0,0,1,0,2,0,1,0,0,1,1,0,0,1,2,2,1,0,1
"Down Dog Split Pose, Open Hip Bent Knee",POSE,DOWN_DOG_SPLIT_OPEN_HIP_BENT_KNEE,TRUE,,https://connect.garmin.com/modern/exercises/POSE/DOWN_DOG_SPLIT_OPEN_HIP_BENT_KNEE,Beginner,,0,0,1,0,2,0,1,0,0,1,1,1,0,1,2,2,1,0,1
Downward Facing Dog Pose,POSE,DOWNWARD_FACING_DOG,TRUE,,https://connect.garmin.com/modern/exercises/POSE/DOWNWARD_FACING_DOG,Beginner,"Probably the most commonly recognised pose in yoga, Downward-facing Dog stretches or opens most of the body.",0,0,1,0,2,0,1,0,0,1,1,0,0,1,2,2,1,0,1
Eagle Pose,POSE,EAGLE,TRUE,,https://connect.garmin.com/modern/exercises/POSE/EAGLE,Intermediate,"Named for the king of the birds, Garuda, this posture resembles the shape of an eagle taking flight. This pose strengthens the lower body, opens the shoulders, and improves balance and concentration.",0,0,2,0,1,0,0,0,0,0,1,2,0,2,2,1,1,2,0
Easy Seated Pose,POSE,EASY_SEATED,TRUE,,https://connect.garmin.com/modern/exercises/POSE/EASY_SEATED,Beginner,Easy Seated Pose is a pose recommended for meditation.,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0
Extended Puppy Pose,POSE,EXTENDED_PUPPY,TRUE,,https://connect.garmin.com/modern/exercises/POSE/EXTENDED_PUPPY,Beginner,"While this pose may look like child's pose, it's actually a kneeling variation of downward dog. Puppy pose is thought to reduce stress and calm the mind.",0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1,0
Extended Side Angle Pose,POSE,EXTENDED_SIDE_ANGLE,TRUE,,https://connect.garmin.com/modern/exercises/POSE/EXTENDED_SIDE_ANGLE,Beginner,"The Sanskrit name of this pose translates to ""Extended Side Angle"" pose. This posture is a full-body opener, providing the leg-strengthening benefits of warrior II, while opening and lengthening the torso.",0,2,2,0,1,0,0,2,0,0,1,1,0,2,1,1,1,0,0
Fish Pose,POSE,FISH,TRUE,,https://connect.garmin.com/modern/exercises/POSE/FISH,Beginner,This is the fourth of the 12 basic Hatha yoga postures. Fish pose is often included in a sequence as a counter pose to Shoulder Stand.,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,1,0
Four-Limbed Staff Pose,POSE,FOUR_LIMBED_STAFF,TRUE,,https://connect.garmin.com/modern/exercises/POSE/FOUR_LIMBED_STAFF,Beginner,"Also referred to as Plank Halfway Down, this pose assumes the same position as a Triceps Pushup. It builds upper body and core strength. Danda in Sanskrit means ""staff,"" which refers to the spine, or support of the entire body. This pose is an essential part of the advanced Sun Salutation and often part of what is referred to as a ""vinyasa"" or ""flow,"" which practitioners are often encouraged to practice on the way back to Down Dog.",0,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,1,0,1
Full Split Pose,POSE,FULL_SPLIT,TRUE,,https://connect.garmin.com/modern/exercises/POSE/FULL_SPLIT,Advanced,"Also referred to as ""Monkey"" pose, this pose translates in Sanskrit to “Pose dedicated to Hanuman, the Monkey God.” Hanuman is the ultimate devotee, having leapt across islands to rescue his love – hence the split-leg position.",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Gate Pose,POSE,GATE,TRUE,,https://connect.garmin.com/modern/exercises/POSE/GATE,Beginner,This pose stretches the side of the torso which may create space for the lungs to take deeper breaths.,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
Half Chair Half Ankle to Knee Pose,POSE,HALF_CHAIR_HALF_ANKLE_TO_KNEE,TRUE,,https://connect.garmin.com/modern/exercises/POSE/HALF_CHAIR_HALF_ANKLE_TO_KNEE,Beginner,"This standing hip opener allows you to determine the range of motion of your stance, while improving stability and balance.",0,0,0,0,1,0,2,1,0,1,1,1,0,2,0,1,0,0,0
Half Moon Pose,POSE,HALF_MOON,TRUE,,https://connect.garmin.com/modern/exercises/POSE/HALF_MOON,Intermediate,Chandra means “moon.” Both the sun and moon are highly symbolic in yoga. The moon symbolizes feminine energy. Yoga strives to balance the feminine and masculine. This is a pose where gentle balance and strength are required.,0,0,2,0,1,0,0,1,0,1,1,1,0,2,1,0,1,0,0
Head to Knee Pose,POSE,HEAD_TO_KNEE,TRUE,,https://connect.garmin.com/modern/exercises/POSE/HEAD_TO_KNEE,Beginner,Janu means “knee” and sirsa means “head.” You'll get further with the grounding posture by relaxing and not forcing yourself to move too deep into the position. Your slow breath will help increase your range of motion.,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,2,0,0
Heron Pose,POSE,HERON,TRUE,,https://connect.garmin.com/modern/exercises/POSE/HERON,Advanced,"Like its namesake, the Heron, this pose is incredibly graceful. This posture is included in both the Ashtanga and Bikram forms of yoga.",0,0,2,0,0,0,0,0,0,0,1,1,0,2,0,1,2,0,0
Hero’s Pose,POSE,HEROS,TRUE,,https://connect.garmin.com/modern/exercises/POSE/HEROS,Beginner,"This pose increases leg flexibility by opening the thighs and knees. If you find this position comfortable, you can use it as an alternative posture for meditation.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
High Lunge Pose,POSE,HIGH_LUNGE,TRUE,,https://connect.garmin.com/modern/exercises/POSE/HIGH_LUNGE,Beginner,"Part of a traditional, basic Sun salutation, the high lunge has no Sanskrit name, but the pose is incorporated into almost every style of yoga.",0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0
Knees Chest Chin Pose,POSE,KNEES_CHEST_CHIN,TRUE,,https://connect.garmin.com/modern/exercises/POSE/KNEES_CHEST_CHIN,Beginner,"Translating to ""Eight-limbed Salutation,"" the Knees Chest Chin pose is sometimes used as a beginner variation of the Four-limbed Staff Pose. This pose is a part of a back-bending Sun Salutation.",0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,1
Lizard Pose,POSE,LIZARD,TRUE,,https://connect.garmin.com/modern/exercises/POSE/LIZARD,Beginner,This is a versatile hip opener that can be modified in many ways to adapt to most bodies. It prepares the body for deeper hip stretches like the pigeon pose. The posture resembles a lizard—the back leg represents a lizard's tail.,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0
Locust Pose,POSE,LOCUST,TRUE,,https://connect.garmin.com/modern/exercises/POSE/LOCUST,Beginner,This is the seventh of the 12 basic Hatha yoga postures. This backbend requires more core strength than others as the limbs do not provide support.,0,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
Low Lunge Pose,POSE,LOW_LUNGE,TRUE,,https://connect.garmin.com/modern/exercises/POSE/LOW_LUNGE,Beginner,"Low lunge, also known as ""Equestrian"" pose, is a commonly used posture in routines, and is also a part of a basic sun salutation.",0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0
Low Lunge Twist Pose,POSE,LOW_LUNGE_TWIST,TRUE,,https://connect.garmin.com/modern/exercises/POSE/LOW_LUNGE_TWIST,Beginner,"Low Lunge Twist is a variation of several poses, but the varying schools of yoga disagree on the exact pose. This posture improves spinal flexibility, and is thought to help stimulate digestion.",0,0,2,0,1,0,0,1,0,1,2,0,0,0,2,1,0,0,0
Low Lunge with Knee Down Pose,POSE,LOW_LUNGE_WITH_KNEE_DOWN,TRUE,,https://connect.garmin.com/modern/exercises/POSE/LOW_LUNGE_WITH_KNEE_DOWN,Beginner,"The derivation of the Sanskrit name of this pose comes  from Anjani, the mother of the Monkey God, Hanuman. It is said that she was praying in this pose with her arms raised, asking to have a child when she was divinely blessed and became pregnant. This pose is also sometimes referred to as ""Crescent Lunge"", due to its shape.",0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0
Mermaid Pose,POSE,MERMAID,TRUE,,https://connect.garmin.com/modern/exercises/POSE/MERMAID,Intermediate,This backbending hip and shoulder opener is an intermediate version of the Full King Pigeon pose. The English name stems from the resemblance of the back leg to a mermaid's tail.,0,0,1,0,0,0,0,1,0,0,1,1,0,2,0,0,1,0,0
Mountain Pose,POSE,MOUNTAIN,TRUE,,https://connect.garmin.com/modern/exercises/POSE/MOUNTAIN,Beginner,"Used in almost every style of yoga as transition pose to move from one to another, Mountain pose looks simple. But a multitude of alignment adjustments make it complex. It is named for the strong sturdiness of a mountain that this pose invokes.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
One-Legged Downward-Facing Dog Pose Open Hip Bent Knee,POSE,ONE_LEGGED_DOWNWARD_FACING_POSE_OPEN_HIP_BENT_KNEE,TRUE,,https://connect.garmin.com/modern/exercises/POSE/ONE_LEGGED_DOWNWARD_FACING_POSE_OPEN_HIP_BENT_KNEE,Beginner,"This open hip variation of the One-Legged Downward-facing Dog Pose is often used as a transition to bring a leg forward to an open hip pose, or to shift into a standing or seated pose.",0,0,1,0,2,0,1,0,0,1,1,1,0,1,2,2,1,0,1
One-Legged Pigeon Pose,POSE,ONE_LEGGED_PIGEON,TRUE,,https://connect.garmin.com/modern/exercises/POSE/ONE_LEGGED_PIGEON,Beginner,"Translated from Sanskrit, One-leg Pigeon pose is the leg portion of the posture: One-leg King Pigeon pose. It's an easy hip opener for beginners, and recommended for athletes.",0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,2,2,0,0
Peaceful Warrior Pose,POSE,PEACEFUL_WARRIOR,TRUE,,https://connect.garmin.com/modern/exercises/POSE/PEACEFUL_WARRIOR,Beginner,"Sometimes referred to as ""Reverse Warrior,"" Peaceful Warrior is named for its open,  vulnerable stance. This pose is  commonly used in many schools of yoga. It's a gentle side opener that is thought to increase lung capacity and allow for deeper breathing.",0,1,0,0,2,0,0,0,0,2,2,1,0,0,1,2,2,0,0
Plow Pose,POSE,PLOW,TRUE,,https://connect.garmin.com/modern/exercises/POSE/PLOW,Beginner,"This is the third of the 12 basic Hatha yoga postures. Plow Pose is named for its shape. This pose is typically practiced at the end of a yoga routine, and often in conjunction with Shoulder Stand, when the back is thought to benefit from the flexibility that the prior yoga practice has brought on. However this pose can be extremely stressful to your neck and shoulders. So avoid it if you have spine issues or feel pain.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Reclined Hand to Foot Pose,POSE,RECLINED_HAND_TO_FOOT,TRUE,,https://connect.garmin.com/modern/exercises/POSE/RECLINED_HAND_TO_FOOT,Beginner,"While the translation is ""Reclined Hand to Foot Big Toe"" pose, Hand to Foot is how it is usually referred. This pose is a gentle way to open and stretch your legs.",0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0,0
Revolved Half Moon Pose,POSE,REVOLVED_HALF_MOON,TRUE,,https://connect.garmin.com/modern/exercises/POSE/REVOLVED_HALF_MOON,Intermediate,"This challenging balance pose strengthens the whole body, increases body awareness, and is thought to detoxify.",0,0,2,0,1,0,1,1,0,1,1,1,0,2,1,1,1,0,0
Revolved Head to Knee Pose,POSE,REVOLVED_HEAD_TO_KNEE,TRUE,,https://connect.garmin.com/modern/exercises/POSE/REVOLVED_HEAD_TO_KNEE,Beginner,"Revolved Head-to-Knee pose opens your shoulders, torso, hamstrings and more. The chest opening this pose provides allows breath to come deeper and more easily.",0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0
Revolved Triangle Pose,POSE,REVOLVED_TRIANGLE,TRUE,,https://connect.garmin.com/modern/exercises/POSE/REVOLVED_TRIANGLE,Advanced,"This twisting variation of the Triangle pose gives many of the same benefits, but is also thought to aid digestion and improve coordination.",0,0,2,0,0,0,0,1,0,0,1,1,0,2,1,1,1,0,0
Runner’s Lunge Pose,POSE,RUNNERS_LUNGE,TRUE,,https://connect.garmin.com/modern/exercises/POSE/RUNNERS_LUNGE,Beginner,"The Sanskrit translation of this is “Half Split,” although it's more commonly referred to as ""Runner's Lunge,"" as it's a suitable pose for runners. This pose will prep you to perform a full split.",0,2,0,0,2,0,0,0,0,1,1,1,0,0,0,1,0,0,0
Seated Easy Side Bend Pose,POSE,SEATED_EASY_SIDE_BEND,TRUE,,https://connect.garmin.com/modern/exercises/POSE/SEATED_EASY_SIDE_BEND,Beginner,This move stretches and opens up the sides of your torso.,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0
Seated Easy Twist Pose,POSE,SEATED_EASY_TWIST,TRUE,,https://connect.garmin.com/modern/exercises/POSE/SEATED_EASY_TWIST,Beginner,"This seated twist is thought to help detoxify, improve blood flow, and increase hip and spine flexibility.",0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,2,0,0
Seated Long-Leg Forward Bend Pose,POSE,SEATED_LONG_LEG_FORWARD_BEND,TRUE,,https://connect.garmin.com/modern/exercises/POSE/SEATED_LONG_LEG_FORWARD_BEND,Beginner,"This pose is the fifth of the 12 Basic Hatha Yoga Postures. The Sanskrit translation is ""Intense Stretch of the West"" (west means your back). This grounding pose not only opens your back, but your hamstrings as well.",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Seated Wide-Leg Forward Bend Pose,POSE,SEATED_WIDE_LEG_FORWARD_BEND,TRUE,,https://connect.garmin.com/modern/exercises/POSE/SEATED_WIDE_LEG_FORWARD_BEND,Beginner,"The name translates to ""Seated Angle"" pose. It's a gentle opener of many joints and can be incredibly grounding if your forehead is touching the ground or a block.",0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0
Shoulder Stand Pose,POSE,SHOULDER_STAND,TRUE,,https://connect.garmin.com/modern/exercises/POSE/SHOULDER_STAND,Intermediate,This is the second of the 12 basic Hatha yoga postures. Shoulder Stand is a powerhouse pose alleged to stimulate the thyroid gland and rejuvenate the entire body.,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,1
Side Boat Pose,POSE,SIDE_BOAT,TRUE,,https://connect.garmin.com/modern/exercises/POSE/SIDE_BOAT,Intermediate,This variation on Boat Pose is particularly effective for targeting the obliques.,0,0,2,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0
Sphinx Pose,POSE,SPHINX,TRUE,,https://connect.garmin.com/modern/exercises/POSE/SPHINX,Beginner,"Sphinx pose is a gentle back bend that provides a good alternative to the  Cobra pose for those who suffer from wrist pain or strain, or who do not wish to hyperextend their spine too far. This pose allows for deeper breathing and is thought to improve confidence.",0,0,2,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0
Squat Open Arm Twist Pose,POSE,SQUAT_OPEN_ARM_TWIST,TRUE,,https://connect.garmin.com/modern/exercises/POSE/SQUAT_OPEN_ARM_TWIST,Beginner,"In addition to all the muscle strengthening benefits of the classic squat position, this variation adds a shoulder opening and energizing component. This pose is recommended for athletes.",0,1,0,0,1,0,2,1,0,1,1,1,0,2,1,1,1,0,0
Squat Palm Press Pose,POSE,SQUAT_PALM_PRESS,TRUE,,https://connect.garmin.com/modern/exercises/POSE/SQUAT_PALM_PRESS,Beginner,"This pose Is also referred to as the Garland pose or the less eloquent ""Excretion"" or ""Relieving"" pose. This pose is thought to aid digestion.",0,1,0,0,1,0,2,0,0,1,1,1,0,2,0,1,0,0,0
Staff Pose,POSE,STAFF,TRUE,,https://connect.garmin.com/modern/exercises/POSE/STAFF,Beginner,Staff pose is a very grounding pose that is the foundation for many of the seated postures in yoga.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Standing Arms Up Pose,POSE,STANDING_ARMS_UP,TRUE,,https://connect.garmin.com/modern/exercises/POSE/STANDING_ARMS_UP,Beginner,"The Sanskrit translation is ""Upward Hand Pose."" This opening posture lengthens and energizes your body from your toes up to your raised fingertips. It's great for waking your mind and body up.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Standing Forward Bend, Halfway Up Pose",POSE,STANDING_FORWARD_BEND_HALFWAY_UP,TRUE,,https://connect.garmin.com/modern/exercises/POSE/STANDING_FORWARD_BEND_HALFWAY_UP,Beginner,"This half-forward bend opens the torso and is thought to alleviate stomach pains. This pose is most commonly seen in a  traditional ""advanced"" sun salutation.",0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
Standing Forward Bend Pose,POSE,STANDING_FORWARD_BEND,TRUE,,https://connect.garmin.com/modern/exercises/POSE/STANDING_FORWARD_BEND,Beginner,"This is the 11th of the 12 Basic Hatha Yoga Poses. In this standing forward bend, your spine lengthens and your head drops below your heart, increasing blood flow to your brain. This pose is said to help many things: from stress to depression to sinusitis.",0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
Standing Side Opener Pose,POSE,STANDING_SIDE_OPENER,TRUE,,https://connect.garmin.com/modern/exercises/POSE/STANDING_SIDE_OPENER,Beginner,"This pose goes by different names in each style of yoga. Kati means “hip,” and chakrasana means ”wheel,” so this standing side opener can also be thought of as a hip bend.",0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Standing Single Leg Forward Bend Pose,POSE,STANDING_SINGLE_LEG_FORWARD_BEND,TRUE,,https://connect.garmin.com/modern/exercises/POSE/STANDING_SINGLE_LEG_FORWARD_BEND,Beginner,"This pose translates to ""Intense Side Stretch"" and is also referred to as Pyramid pose.  It is, as the name suggests, an intense stretch, especially for the hamstrings, and is also said to calm the mind.",0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,2,0,0
Standing Split Pose,POSE,STANDING_SPLIT,TRUE,,https://connect.garmin.com/modern/exercises/POSE/STANDING_SPLIT,Beginner,"Translating to ""One Foot Extended Upward,"" this standing split pose lengthens the body from the ankle to the neck. It lengthens, strengthens, improves balance, and energizes.",0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,2,1,0,0
Standing Wide-Leg Forward Bend Pose,POSE,STANDING_WIDE_LEG_FORWARD_BEND,TRUE,,https://connect.garmin.com/modern/exercises/POSE/STANDING_WIDE_LEG_FORWARD_BEND,Beginner,This pose translates to “Wide Intense Foot Stretch.” So don't be fooled by the easy position—it's a move that is meant to challenge you.,0,1,2,0,0,0,0,0,0,0,1,1,0,2,0,2,0,0,0
Standing Wide-Leg Forward Bend with Twist Pose,POSE,STANDING_WIDE_LEG_FORWARD_BEND_WITH_TWIST,TRUE,,https://connect.garmin.com/modern/exercises/POSE/STANDING_WIDE_LEG_FORWARD_BEND_WITH_TWIST,Beginner,This twist is thought to stimulate digestion while lengthening your spine and hamstrings.,0,1,2,0,0,0,0,1,0,0,1,1,0,2,1,2,1,0,0
Supine Spinal Twist Pose,POSE,SUPINE_SPINAL_TWIST,TRUE,,https://connect.garmin.com/modern/exercises/POSE/SUPINE_SPINAL_TWIST,Beginner,"This gentle twist performed while lying on the back is a counter pose to backbends. As with all twists, this pose is alleged to detoxify the body.",0,0,2,0,1,0,0,1,0,1,0,1,0,2,1,0,1,0,0
Table Top Pose,POSE,TABLE_TOP,TRUE,,https://connect.garmin.com/modern/exercises/POSE/TABLE_TOP,Beginner,Table Top is often offered as an easier beginner modification of Upward Facing Plank.,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1
Thread the Needle Pose,POSE,THREAD_THE_NEEDLE,TRUE,,https://connect.garmin.com/modern/exercises/POSE/THREAD_THE_NEEDLE,Beginner,"This calming pose is great for opening your shoulders, chest, and neck. The gentle twist is thought to stimulate digestion.",0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,2,1,1,0
Thunderbolt Pose,POSE,THUNDERBOLT,TRUE,,https://connect.garmin.com/modern/exercises/POSE/THUNDERBOLT,Beginner,"Thunderbolt pose, which can also be translated as “Diamond pose,” is a great alternative to Easy Seat for meditating, breathing, and feeling grounded.",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
Thunderbolt Pose Both Sides Arm Stretch,POSE,THUNDERBOLT_POSE_BOTH_SIDES_ARM_STRETCH,TRUE,,https://connect.garmin.com/modern/exercises/POSE/THUNDERBOLT_POSE_BOTH_SIDES_ARM_STRETCH,Beginner,,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0
Tree Pose,POSE,TREE,TRUE,,https://connect.garmin.com/modern/exercises/POSE/TREE,Beginner,"This strengthening balance pose improves both posture and focus. You stand tall like a tree. But trees move and sway with the wind, they're not rigid or stuck, and neither should be your joints. Stay soft and supple while you balance.",0,0,2,0,1,0,1,0,0,2,1,1,0,2,0,1,0,0,0
